target,BJD,RV_mlc_nzp,e_RV_mlc_nzp
HD69830,2454194.54591604,30293.4544112441,0.213548990361542
HD69830,2454194.5485663,30293.3496946959,0.22973883896823
HD69830,2454194.55129758,30293.0563256907,0.235296162534417
HD69830,2454194.55380897,30292.0496819,0.250791087108292
HD69830,2454197.59706118,30296.4205139435,0.206614301931278
HD69830,2454197.60228068,30296.1041834324,0.211959792233212
HD69830,2454199.54261625,30302.3257635796,0.239739247992703
HD69830,2454199.54613449,30301.2867224003,0.218493476483121
HD69830,2454199.5495833,30301.403331283,0.21712560275092
HD69830,2454202.53256549,30297.0921858423,0.226178859621028
HD69830,2454202.53613002,30296.827060484,0.22561417924205
HD69830,2454202.53957882,30297.4960004502,0.23743254509247
HD69830,2454225.56409332,30300.6180720151,0.32399294324556
HD69830,2454225.566813,30300.5875802753,0.35405372863068
HD69830,2454225.56950953,30300.9331334726,0.332118571774498
HD69830,2454225.57222921,30300.2968358135,0.317173777940388
HD69830,2454228.53996656,30294.0985498387,0.199414104465369
HD69830,2454228.54510502,30294.1294105537,0.2113016526261
HD69830,2454232.50822414,30300.0983462036,0.355699209168821
HD69830,2454232.51296912,30300.0950762647,0.220555560072165
HD69830,2454234.53444576,30303.7088782494,0.233694179018947
HD69830,2454234.53961895,30303.2324175512,0.238880621988184
HD69830,2454419.85182117,30293.0381642172,0.177109486763729
HD69830,2454419.85557149,30293.8068950124,0.17163693668006
HD69830,2454419.85940283,30293.5779117204,0.172065065876281
HD69830,2454420.82106879,30295.6805114239,0.174381904497019
